Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values
14,52.7,L,,,,,,19.4,377.5,L,,,,,,43.4,203.1,S,,,,
14,96.9,L,,,,,,19.4,387.5,L,,,,,,44.2,172.8,L,,,,
14,102.3,L,,,,,,20.2,31.8,L,,,,,,44.2,212.4,L,,,,
14,118.6,L,,,,,,20.2,125.6,L,,,,,,44.2,282.9,L,,,,
14,138,L,,,,,,20.2,155,M,,,,,,44.2,303.8,L,,,,
14.7,40.3,L,,,,,,20.2,244.1,L,,,,,,45.7,14,L,,,,
14.7,58.1,S,,,,,,20.9,67.4,L,,,,,,45.7,251.1,M,,,,
14.7,127.9,L,,,,,,20.9,82.9,S,,,,,,45.7,312.3,NC,,,,
14.7,165.9,L,,,,,,20.9,101.5,L,,,,,,46.5,189.9,M,,,,
14.7,179,L,,,,,,20.9,118.6,M,,,,,,47.3,86,NC,,,,
14.7,184.5,S,,,,,,20.9,196.1,L,,,,,,47.3,101.5,L,,,,
14.7,220.9,L,,,,,,20.9,214.7,L,,,,,,47.7,123.2,NC,,,,
15.5,7,L,,,,,,20.9,297.6,M,,,,,,48.1,38.8,M,,,,
15.5,18.6,M,,,,,,21.7,141.8,L,,,,,,48.1,262.7,M,,,,
15.5,34.9,L,,,,,,21.7,274.4,L,,,,,,48.1,292.2,M,,,,
15.5,65.1,M,,,,,,22.5,45,L,,,,,,48.4,320.5,L,,,,
15.5,69.8,L,,,,,,22.5,57.4,L,,,,,,48.8,26.4,L,,,,
15.5,75.2,L,,,,,,22.5,177.5,L,,,,,,48.8,144.2,M,,,,
15.5,110.1,L,,,,,,23.3,16.3,L,,,,,,48.8,155.8,M,,,,
15.5,123.2,M,,,,,,23.3,24,L,,,,,,49.6,69,L,,,,
15.5,172.8,L,,,,,,23.3,89.1,L,,,,,,49.6,238.7,L,,,,
15.5,200.7,L,,,,,,23.3,109.3,S,,,,,,50.4,227.9,L,,,,
15.5,231,L,,,,,,23.3,220.9,L,,,,,,51.2,272,M,,,,
16.3,23.3,L,,,,,,23.3,251.1,L,,,,,,51.6,216.1,L,,,,
16.3,30.2,L,,,,,,23.3,369.7,L,,,,,,51.9,49.6,L,,,,
16.3,82.9,L,,,,,,24,73.6,L,,,,,,52.3,80.6,NC,,,,
16.3,143.4,M,,,,,,24,284.4,M,,,,,,52.7,110.1,S,,,,
16.3,189.1,L,,,,,,24,341.8,L,,,,,,52.7,196.1,L,,,,
16.3,205.4,M,,,,,,24.8,35.7,L,,,,,,52.7,303,M,,,,
16.3,238.7,M,,,,,,24.8,95.3,M,,,,,,52.7,333.3,L,,,,
16.6,50,L,,,,,,24.8,131,L,,,,,,53.1,136.7,NC,,,,
17.1,78.3,L,,,,,,24.8,234.1,L,,,,,,53.5,176.7,L,,,,
17.1,105.4,L,,,,,,24.8,262,M,,,,,,54.3,13.2,L,,,,
17.1,134.9,L,,,,,,24.8,313.9,S,,,,,,54.3,58.1,S,,,,
17.1,148.8,L,,,,,,24.8,351.1,L,,,,,,54.5,168.3,L,,,,
17.1,210.8,L,,,,,,24.8,379.8,L,,,,,,55,314.7,S,,,,
17.1,226.3,L,,,,,,25.6,148,L,,,,,,55.8,89.9,L,,,,
17.8,43.4,L,,,,,,25.6,200,M,,,,,,55.8,119.4,L,,,,
17.8,93.8,M,,,,,,25.6,324.7,L,,,,,,55.8,250.3,L,,,,
17.8,98.4,L,,,,,,25.6,334,L,,,,,,56.6,36.4,L,,,,
17.8,114.7,L,,,,,,25.6,362,M,,,,,,56.6,239.5,NC,,,,
17.8,155,M,,,,,,26.4,123.2,L,,,,,,56.6,289.1,M,,,,
17.8,161.2,L,,,,,,26.4,210.8,L,,,,,,57.4,150.4,L,,,,
17.8,193.8,L,,,,,,26.4,293.7,M,,,,,,58.1,211.6,M,,,,
17.8,216.2,M,,,,,,26.4,304.6,L,,,,,,58.5,190.3,S,,,,
17.8,245.7,L,,,,,,26.4,389.9,M,,,,,,58.9,199.2,L,,,,
18.6,88.4,L,,,,,,27.1,9.3,L,,,,,,59.7,45,L,,,,
18.6,120.1,M,,,,,,27.1,50.4,M,,,,,,59.7,139.5,S,,,,
18.6,131.8,L,,,,,,27.1,68.2,L,,,,,,59.7,224,L,,,,
18.6,168.2,L,,,,,,27.1,164.3,L,,,,,,59.7,260.4,M,,,,
19.4,14.7,M,,,,,,27.1,244.9,L,,,,,,59.9,24.8,L,,,,
19.4,32.6,L,,,,,,27.9,80.6,M,,,,,,60.5,62.8,M,,,,
19.4,38,L,,,,,,27.9,172.1,L,,,,,,60.5,99.2,M,,,,
19.4,55.8,M,,,,,,27.9,227.9,L,,,,,,60.5,127.1,L,,,,
19.4,60.5,L,,,,,,27.9,270.5,L,,,,,,60.5,327.8,M,,,,
19.4,72.9,L,,,,,,28.7,20.2,L,,,,,,61.6,116.6,NC,,,,
19.4,124.8,M,,,,,,28.7,58.9,M,,,,,,62,6.2,L,,,,
19.4,175.9,L,,,,,,28.7,113.9,M,,,,,,62,77.5,L,,,,
19.4,180.6,L,,,,,,29.5,41.1,L,,,,,,62,181.4,L,,,,
19.4,220.9,L,,,,,,29.5,103.1,L,,,,,,62.3,158.9,L,,,,
19.7,9.8,L,,,,,,29.5,135.6,L,,,,,,62.8,110.1,L,,,,
20.2,27.9,L,,,,,,29.5,153.5,M,,,,,,62.8,272,NC,,,,
20.2,110.1,L,,,,,,29.5,190.7,L,,,,,,62.8,296.8,L,,,,
20.2,186.8,L,,,,,,29.5,251.9,L,,,,,,63.6,313.1,M,,,,
20.2,229.4,L,,,,,,29.5,370.5,M,,,,,,63.6,337.9,M,,,,
20.9,20.9,L,,,,,,30.2,75.2,S,,,,,,65.1,29.5,L,,,,
20.9,82.2,L,,,,,,30.2,89.1,M,,,,,,65.1,232.5,NC,,,,
20.9,91.5,L,,,,,,30.2,183.7,L,,,,,,65.9,196.9,L,,,,
20.9,101.5,S,,,,,,30.2,218.6,L,,,,,,66.7,167.4,S,,,,
20.9,198.4,L,,,,,,30.2,279,L,,,,,,66.8,243.2,L,,,,
20.9,203.1,S,,,,,,30.2,318.5,L,,,,,,67.4,15.5,L,,,,
20.9,236.4,L,,,,,,30.2,329.4,L,,,,,,67.4,88.4,L,,,,
21.7,52.7,L,,,,,,30.2,355,S,,,,,,67.4,122.1,NC,,,,
21.7,129.4,L,,,,,,31,128.7,M,,,,,,67.4,145.7,M,,,,
21.7,145.7,L,,,,,,31,287.5,M,,,,,,67.4,265.1,L,,,,
21.7,158.1,L,,,,,,31.8,144.2,L,,,,,,67.8,61.5,S,,,,
21.7,193,L,,,,,,31.8,199.2,M,,,,,,68.2,40.3,L,,,,
21.7,241,L,,,,,,31.8,307.7,L,,,,,,68.2,175.2,M,,,,
22.5,78.3,M,,,,,,31.8,344.9,L,,,,,,69,102.3,L,,,,
22.5,96.9,M,,,,,,31.8,385.2,L,,,,,,69,135.9,L,,,,
22.5,150.4,L,,,,,,32.6,11.6,L,,,,,,69,213.9,M,,,,
22.5,164.3,M,,,,,,32.6,120.9,M,,,,,,69.8,181.4,L,,,,
22.5,214.7,L,,,,,,32.6,209.3,L,,,,,,69.8,276.7,L,,,,
23.3,37.2,L,,,,,,32.6,263.5,M,,,,,,69.8,318.5,NC,,,,
23.3,41.9,L,,,,,,32.6,296.8,M,,,,,,70.5,4.7,L,,,,
23.3,47.3,L,,,,,,32.6,363.5,L,,,,,,71.3,116.3,L,,,,
23.3,58.1,M,,,,,,33.3,162,S,,,,,,71.3,253.4,M,,,,
23.3,114.7,M,,,,,,34.1,114.7,L,,,,,,71.3,304.6,M,,,,
23.3,134.1,L,,,,,,34.1,177.5,L,,,,,,71.8,50.2,NC,,,,
23.3,170.5,L,,,,,,34.1,228.6,S,,,,,,72.1,155.8,L,,,,
24,5.4,S,,,,,,34.1,268.9,S,,,,,,72.1,290.6,L,,,,
24,31.8,L,,,,,,34.1,335.6,L,,,,,,72.9,23.3,L,,,,
24,63.6,S,,,,,,34.9,65.1,L,,,,,,72.9,332.5,M,,,,
24,69,L,,,,,,34.9,81.4,M,,,,,,73.3,67.9,L,,,,
24,124.8,L,,,,,,34.9,95.3,L,,,,,,73.6,221.7,M,,,,
24,180.6,L,,,,,,34.9,247.2,L,,,,,,74.5,132.6,NC,,,,
24.3,141.1,L,,,,,,35.7,26.4,L,,,,,,75.2,169.7,L,,,,
24.8,18.6,L,,,,,,35.7,49.6,L,,,,,,75.2,190.7,L,,,,
24.8,23.3,M,,,,,,35.7,58.9,L,,,,,,75.2,231.7,M,,,,
24.8,73.6,L,,,,,,35.7,104.6,S,,,,,,76,33.3,M,,,,
24.8,91.5,L,,,,,,35.7,169,L,,,,,,76,205.4,S,,,,
24.8,100.8,M,,,,,,35.7,188.3,L,,,,,,76,268.2,S,,,,
24.8,119.4,L,,,,,,36.4,135.6,M,,,,,,76.7,310,NC,,,,
24.8,145.7,L,,,,,,36.4,350.3,L,,,,,,77.5,58.1,M,,,,
24.8,175.9,L,,,,,,36.4,377.5,L,,,,,,77.5,144.9,L,,,,
24.8,189.1,L,,,,,,37.2,4.7,L,,,,,,78.3,6.2,L,,,,
24.8,220.1,M,,,,,,37.2,43.4,L,,,,,,78.3,103.1,M,,,,
24.8,226.3,L,,,,,,37.2,73.6,L,,,,,,78.3,254.2,L,,,,
24.8,232.5,M,,,,,,37.2,145.7,L,,,,,,78.3,282.9,L,,,,
25.6,106.2,M,,,,,,37.2,155.8,L,,,,,,79.1,87.6,M,,,,
25.6,110.8,M,,,,,,37.2,203.1,L,,,,,,79.1,115.5,S,,,,
25.6,155,S,,,,,,37.2,283.7,M,,,,,,79.1,127.1,L,,,,
25.6,196.9,L,,,,,,37.2,323.2,M,,,,,,79.1,180.6,M,,,,
25.6,203.1,L,,,,,,38,19.4,L,,,,,,79.1,241.8,L,,,,
25.6,208.5,L,,,,,,38,125.6,L,,,,,,80.5,199,L,,,,
25.6,237.9,L,,,,,,38,217,L,,,,,,80.6,344.9,L,,,,
26.4,166.6,M,,,,,,38,254.2,M,,,,,,81.4,23.3,M,,,,
26.9,39.9,L,,,,,,38,274.4,L,,,,,,81.7,74.8,L,,,,
27.1,9.3,L,,,,,,38,311.6,L,,,,,,82.2,271.3,L,,,,
27.1,34.1,L,,,,,,38,368.2,S,,,,,,82.2,318.5,L,,,,
27.1,79.1,L,,,,,,38.8,86,L,,,,,,82.4,43.3,L,,,,
